resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,colSectionLocRoomTitle,colSectionLocRooms,colSectionLocRooms 2,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,weekDay 3,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,extraTxt 7,extraTxt 8,headerSect 7,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,colCode 2,alignC,colNotes,extraTxt 9,extraTxt 10,weekDay 5,enConList 2,enConList 3,headerSect 14,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2
WDW,Historical Archives in the Digital Age,DHU337H1-S,"How do digital surrogates of texts and objects change how we use them? This course examines texts and archives in the digital age: the aims of building them; the new scholarly approaches that they enable; the preservation, access, and equity questions that they raise and require us to answer responsibly.",DHU235H1 and DHU236H1; open to students not taking the Digital Humanities Minor by permission of the program coordinator.,Prerequisite:,WDW337H1,Exclusion:,,,,LEC0101,Thursday,—,10:00,13:00,,https://map.utoronto.ca/?id=1809#!m/494564,SK 702,,"Bolintineanu, A.",of  available,18,30,Yes: 0 student,In Person,,,,,Humanities,Distribution Requirement:,Room,,,,,,,,,,,,,"July 11, 2021: Section added.",Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,,,
WGSI,Gendered Labour Around the World,WGS355H1-S,"This course will focus on masculinities and femininities in workplace settings, with an emphasis on service work around the world. We will discuss workers' lived experiences of gender regimes which are embedded within the dynamics of class, race and nation.  The relationships between gender processes and workplace hierarchies will be explored.",WGS363H1 Gendered Labour Around the World,Exclusion:,WGS160Y1,Recommended Preparation:,,,,LEC0101,Wednesday,—,10:00,12:00,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1070,,,of  available,10,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Social Science,Distribution Requirement:,Room,,,,,,,,,,,,—,,Society and its Institutions (3),Breadth Requirement:,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
WGSI,Making Knowledge in a World that Matters,WGS360H1-S,"Teaches skills in feminist approaches to making knowledge.  Introduces feminist practices for doing research and navigating the politics of production and exchange.  Develops skills for conveying knowledge to the wider world, such as through research papers, reports, performance, new media, art.",WGS160Y1,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,,,,LEC0101,Monday,—,12:00,14:00,WE 52,https://map.utoronto.ca/?id=1809#!m/494503,WI 1017,https://map.utoronto.ca/?id=1809#!m/494509,"Sweeney, S.",of  available,26,100,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Creative and Cultural Representations (1),Breadth Requirement:,Room,—,13:00,14:00,Friday,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,—,,,,WE 52,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,Activity,of  available,0,25,No,In Person
WGSI,Gender Issues in the Law,WGS365H1-F,"Examines the operation of the law as it affects women, the construction and representation of women within the legal system, and the scope for feminist and intersectional analyses of law. Includes an analysis of specific legal issues such as sexuality and reproduction, equality, employment, violence and immigration.",WGS160Y1,Recommended Preparation:,"Humanities, Social Science",Distribution Requirement:,,,,LEC5101,Tuesday,—,18:00,20:00,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1072,,"Ross, M.",of  available,1,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Society and its Institutions (3),Breadth Requirement:,Room,,,,,,,,,,,,,,,,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
WGSI,The Politics of Gender and Health,WGS367H1-S,"Examines diverse traditions and normative models of health (e.g. biomedicine, social constructionist, indigenous health) in conjunction with analyses of the origin, politics, and theoretical perspectives of contemporary Womens Health Movements. Topics may include fertility, sexuality, poverty, violence, labour, ageing, (dis)ability, and health care provision.",WGS160Y1,Recommended Preparation:,"Humanities, Social Science",Distribution Requirement:,,,,LEC0101,Thursday,—,13:00,15:00,WE 51B,https://map.utoronto.ca/?id=1809#!m/494536,BL 205,https://map.utoronto.ca/?id=1809#!m/494509,"Alexopoulos, T.",of  available,5,75,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Society and its Institutions (3),Breadth Requirement:,Room,—,15:00,16:00,Thursday,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,—,,,,WE 52,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,Activity,of  available,0,18,No,In Person
WGSI,Studies in Post-Colonialism,WGS369H1-F,"Examines gendered representations of race, ethnicity, class, sexuality and disability in a variety of colonial, neo-colonial, and post-colonial contexts. Topics may include the emergence of racialist, feminist, liberatory and neoconservative discourses as inscribed in literary texts, historical documents, cultural artifacts and mass media.",NEW369H1,Exclusion:,WGS160Y1,Recommended Preparation:,,,,LEC5101,Monday,—,18:00,20:00,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1072,,"Saeedi, P.",of  available,1,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Humanities,Distribution Requirement:,Room,,,,,,,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
WGSI,"Utopian Visions, Activist Realities",WGS370H1-F,"Drawing on diversely situated case-studies, this course focuses on the ideals that inform struggles for social justice, and the mechanisms activists have employed to produce the change. Foci include the gendered implications of movement participation, local and transnational coalition, alternative community formation, and encounters with the state and inter/supra/transnational organizations.",WGS160Y1,Recommended Preparation:,Social Science,Distribution Requirement:,,,,LEC0101,Tuesday,—,10:00,12:00,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1072,,"Walcott, R.",of  available,5,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Society and its Institutions (3),Breadth Requirement:,Room,,,,,,,,,,,,,,,,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
WGSI,Gender and Violence,WGS373H1-F,An interdisciplinary study of gendered violence in both historical and contemporary contexts including topics such as textual and visual representations; legal and theoretical analyses; structural violence; war and militarization; sexual violence; and resistance and community mobilization.,WGS160Y1; WGS350H1,Recommended Preparation:,"Humanities, Social Science",Distribution Requirement:,,,,LEC0101,Thursday,—,13:00,15:00,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1072,,"Hasan, W.",of  available,1,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Society and its Institutions (3),Breadth Requirement:,Room,,,,,,,,,,,,,,,,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
WGSI,Feminist Studies in Sexuality,WGS374H1-F,"Sexual agency as understood and enacted by women in diverse cultural and historical contexts. An exploration of the ways in which women have theorized and experienced sexual expectations, practices and identities.  This course will be offered every three years.",WGS160Y1; WGS271Y1,Recommended Preparation:,"Humanities, Social Science",Distribution Requirement:,,,,LEC0101,Thursday,—,15:00,17:00,,https://map.utoronto.ca/?id=1809#!m/494503,WI 524,,"Erickson, L.",of  available,5,40,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,,,,,,,,,,,,,,,,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
WGSI,Studies in Queer and Trans,WGS376H1-S,Takes up conversations in queer and trans studies as separate and entangled fields. It explores how queer and trans people have experienced and theorized gender and sexuality.,WGS272H1/WGS272Y1,Exclusion:,WGS160Y1,Recommended Preparation:,,,,LEC0101,Wednesday,—,10:00,12:00,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1072,,,of  available,24,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0571 MA WOMEN AND GENDER STUDIES,Humanities,Distribution Requirement:,Room,,,,,,,,,,,,—,,Creative and Cultural Representations (1),Breadth Requirement:,,ASMIN0571 MI WOMEN AND GENDER STUDIES,ASSPE0571 SP WOMEN AND GENDER STUDIES,,,,,,
