resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 7,extraTxt 8,extraTxt href 2,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 4,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 5,weekDay 7,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,headerSect 25,weekDay 31,dayInfo 31,dayInfo 32,dayInfo 33,weekDay href,weekDay href 3,alignC 13,extraTxt 15,extraTxt 16
EAS,Independent Studies,EAS434H1-S,,,,,,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult the website (eas.utoronto.ca) for more information. Not eligible for CR/NCR option.",,,"5.0 EAS credits, including EAS209H1",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,,—,,,,,,of  available,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
EAS,Independent Studies,EAS435H1-F,,,,,,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult the website (eas.utoronto.ca) for more information. Not eligible for CR/NCR option.",,,"5.0 EAS credits, including EAS209H1",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
EAS,Independent Studies,EAS435H1-S,,,,,,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult the website (eas.utoronto.ca) for more information. Not eligible for CR/NCR option.",,,"5.0 EAS credits, including EAS209H1",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
EAS,Independent Studies,EAS436Y1-F,,,,,,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult the website (eas.utoronto.ca) for more information. Not eligible for CR/NCR option.",,,"5.0 EAS credits, including EAS209H1",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
EAS,Independent Studies,EAS436Y1-S,,,,,,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult the website (eas.utoronto.ca) for more information. Not eligible for CR/NCR option.",,,"5.0 EAS credits, including EAS209H1",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
EAS,Independent Studies,EAS436Y1-Y,,,,,,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult the website (eas.utoronto.ca) for more information. Not eligible for CR/NCR option.",,,"5.0 EAS credits, including EAS209H1",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,,—,,,—,—,,of  available,9997,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,
ES,Advanced Structural Geology,ESS441H1-F,,,,,,"Principles of geological mechanics: stress, strain, rheology. Faulting, folding and development of tectonic foliations and lineations. Structural analysis of fractures, folds and tectonites.",,,"8.0 FCE of ESS courses including ESS322H1, ESS234H1, ESS241H1, ESS331H1",Prerequisite:,"ESS345H1, ESS323H1",Recommended Preparation:,Science,Distribution Requirement:,LEC0101,Monday,—,13:00,15:00,ES 2119,,"Santimano, T.",of  available,21,30,Yes: 0 student,In Person,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,Wednesday,—,12:00,14:00,ES 2119,,—,of  available,21,30,No,In Person,Status / Notes,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494499,,The Physical and Mathematical Universes (5),Breadth Requirement:
ES,Global Tectonics,ESS445H1-F,,,,,,Exploration of physical Earth processes and their relationship to large-scale geological phenomena. Mantle convection as plate tectonic engine; intraplate/plate boundary lithospheric deformation including orogenesis and crustal subsidence. Focus on reconciling geodynamic theory/modelling with geological/geophysical observations.,,,GLG465H1,Exclusion:,"ESS322H1, ESS332H1 & ESS441H1",Recommended Preparation:,Science,Distribution Requirement:,LEC0101,Wednesday,—,10:00,12:00,ES 2119,,"Pysklywec, R.",of  available,23,40,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,The Physical and Mathematical Universes (5),Breadth Requirement:
EAS,"East Asian Studies Archive: Language, Number, Money",EAS448H1-S,,,,,,"This course investigates salient problems of the historical archive in relation to the experience of modernity in East Asian societies. What is the meaning of the modern archive in East Asia? How is the knowledge of the modern archive produced in relation to the production of quantitative knowledge (e.g., in demographic or economic statistics)? How should we approach the relationship between number and language? How is this knowledge transformed into state knowledge as well as into what we call common sense?",,,EAS209H1,Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Tuesday,—,15:00,17:00,RL 14190,,"Kawashima, K.",of  available,0,20,Yes: 7 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES  - Year 3,ASMAJ1058 MA EAST ASIAN STUDIES  - Year 4,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494531,,,,
ES,Geophysical Imaging with Non-seismic Methods,ESS452H1-S,,,,,,"Current geophysical surface and borehole methodologies (gravity, magnetics, electrical, electromagnetic, nuclear) and their theoretical basis for investigating Earth's interior to depths ranging from several metres to tens of kilometers.",,,PHY494H1,Exclusion:,ESS345H1,Recommended Preparation:,Science,Distribution Requirement:,LEC0101,Monday,—,12:00,14:00,ES 1062,,,of  available,18,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,—,The Physical and Mathematical Universes (5),Breadth Requirement:
