resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,weekDay 5,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 4,legendControl 5,enConDesc 2,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,legendControl 6,legendControl 7,enConDesc 3,enConList 3,extraTxt 12,weekDay 7,weekDay href 3,extraTxt 13,alignC,enConList 4
SLA,Elementary Estonian Language and Culture I,EST100H1-F,"Learn essential Estonian vocabulary, basic grammar and develop elementary conversational competence. Popular songs, poetry, and structured dialogue are among the various tools for achieving these objectives. Students will learn commonly used phrases and expressions used in everyday situations, from greeting people to making purchases in stores, and ordering meals in cafes. The course is designed for students with either no fluency or minimum fluency in Estonian.",EST100Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC5101,Monday,—,18:00,20:00,Thursday,—,18:00,20:00,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,"Toomsalu, M.",of  available,22,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Fundamentals of Management,MGT100H1-F,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Not open to Rotman Commerce students.","RSM100H1, RSM100Y1",Exclusion:,,,,,Room,LEC9901,Tuesday,—,11:00,13:00,,,,,,,,,"Khan, M.",of  available,13,380,Yes: 0 student,Online - Synchronous,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Arts and Science),"(John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Fundamentals of Management,MGT100H1-S,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Not open to Rotman Commerce students.","RSM100H1, RSM100Y1",Exclusion:,,,,,Room,LEC0101,Wednesday,—,09:00,11:00,,,,,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,,,"Khan, M.",of  available,30,380,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Arts and Science),"(John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Introduction to Management,RSM100H1-F,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Enrolment limited to students entering the University with an expressed interest in studying at Rotman Commerce.","MGT100H1, RSM100Y1",Exclusion:,,,,,Room,LEC0201,Wednesday,—,13:00,15:00,Wednesday,—,15:00,17:00,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,"Khan, M.",of  available,0,375,Yes: 0 student,In Person,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),Year 1 COMMERCE     (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,"Khan, M.",of  available,21,375,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9901,Tuesday,—,09:00,11:00,"Khan, M.",of  available,81,260,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),,,,,,
COMPG,Introduction to Management,RSM100H1-S,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Enrolment limited to students entering the University with an expressed interest in studying at Rotman Commerce.","MGT100H1, RSM100Y1",Exclusion:,,,,,Room,LEC0101,Wednesday,—,11:00,13:00,,,,,OI 2212,https://map.utoronto.ca/?id=1809#!m/494563,,,"Khan, M.",of  available,100,100,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Elementary Russian I,SLA100H1-F,"Basic features of the grammar. Acquisition of essential vocabulary for practical conversation and for comprehension. Development of reading and writing skills. (May not be taken by students who, in the judgment of the Department, qualify for entry into SLA210H1 or SLA220Y1).",native speakers of Russian and heritage speakers of Russian (unless permitted by the instructor).,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0102,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,OI 3310,https://map.utoronto.ca/?id=1809#!m/494563,OI 3310,https://map.utoronto.ca/?id=1809#!m/494563,"Aulen, A.",of  available,3,25,Yes: 0 student,In Person (See Delivery Instructions.),—,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,"Aulen, A.",of  available,1,33,Yes: 0 student,In Person (See Delivery Instructions.),,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9901,Thursday,—,10:00,11:00,"Boyer, B.",of  available,0,25,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,LEC9901: Online delivery. Synchronous classes will be recorded and available for students after each class as a review.  Students need a personal computer with a microphone and a web camera in order to participate in online activities. Stable high speed internet connection is recommended.,OI 3310,https://map.utoronto.ca/?id=1809#!m/494563,,,
SLA,Elementary Estonian Language and Culture II,EST101H1-S,"This course expands the student’s command of Estonian from the introductory level. The course will consist of themed sessions using language for travel in Estonia, savouring the language of Estonian cuisine, and the lyrics of popular, folk and classical Estonian music. These themed sessions will also enable students to better understand the proper inflections of nouns and tenses of verbs in both dialogue and written exercises. This course is open to students with minimum fluency in Estonian.",EST100H1 / Permission of instructor,Prerequisite:,EST100Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC5101,Monday,—,18:00,20:00,Thursday,—,18:00,20:00,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,"Toomsalu, M.",of  available,23,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,Elementary Russian II,SLA101H1-S,"Basic features of the grammar. Acquisition of essential vocabulary for practical conversation and for comprehension. Development of reading and writing skills. (May not be taken by students who, in the judgment of the Department, qualify for entry into SLA210H1 or SLA220Y1).",SLA100H1 or permission of instructor,Prerequisite:,native speakers of Russian and heritage speakers of Russian (unless permitted by the instructor).,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,TF 102,https://map.utoronto.ca/?id=1809#!m/494581,TF 102,https://map.utoronto.ca/?id=1809#!m/494581,"Khometa, O.",of  available,14,33,Yes: 0 student,In Person,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,"Boyer, B.",of  available,13,33,Yes: 0 student,In Person,,,,,,,,,,,,Friday,—,10:00,11:00,,,,,,,,,,,Creative and Cultural Representations (1),TF 102,https://map.utoronto.ca/?id=1809#!m/494581,Breadth Requirement:,,
SLA,Slavic Civilizations,SLA103H1-F,"A survey of Slavic civilizations through literature, art, architecture, and film. Key moments in the development of the cultures of Slavic countries are examined in a comparative framework, juxtaposing the varied historical, cultural, linguistic, religious, social, and political developments of the countries involved. Taught in English, all readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC9901,Tuesday,—,12:00,14:00,,,,,,,,,"Obradovic, D.",of  available,44,100,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Cities of the Mediterranean,SLA104H1-S,"This course examines the cultural history of Mediterranean ports and cities, with particular emphasis on Croatian cities in dialogue with cities in Italy and Greece, through works of art, architecture, and literature. Readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Monday,—,14:00,16:00,,,,,AH 107,https://map.utoronto.ca/?id=1809#!m/494578,,,,of  available,6,50,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
SLA,Polish for Beginners I,SLA106H1-F,"The course is aimed at a wide range of students with a general interest in Polish but no prior knowledge. A communicative based approach will be used throughout the course, where all four skills (speaking, reading, listening, and writing) will be practised, with the main emphasis on speaking. Students will engage in interactive language activities, participating in group and pair work according to a syllabus based on systematic grammatical progression.","SLA106Y1, SLA116H1",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC5101,Tuesday,—,17:00,19:00,Thursday,—,17:00,19:00,AH 103,https://map.utoronto.ca/?id=1809#!m/494578,AH 103,https://map.utoronto.ca/?id=1809#!m/494578,"Bandosz, B.",of  available,3,15,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Elementary Ukrainian,SLA108Y1-Y,"Basic vocabulary, simple sentence patterns, essential morphology. Internet language laboratory drills. Intended for students with little or no knowledge of the language.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,LEC0101,Monday,—,16:00,18:00,Wednesday,—,16:00,18:00,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,"Burak, M.",of  available,14,18,Yes: 0 student,In Person,AH 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,,,
SLA,Polish for Beginners II,SLA116H1-S,"The course is aimed at a wide range of students with a general interest in Polish who have already completed SLA106H or who have comparable basic knowledge of Pol. A communicative based approach will be used throughout the course, where all four skills (speaking, reading, listening, and writing) will be practised, with the main emphasis on speaking. Students will engage in interactive language activities, participating in group and pair work according to a syllabus based on systematic grammatical progression.",SLA106H1 or permission of instructor,Prerequisite:,SLA106Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC5101,Tuesday,—,17:00,19:00,Thursday,—,17:00,19:00,TF 202,https://map.utoronto.ca/?id=1809#!m/494581,TF 202,https://map.utoronto.ca/?id=1809#!m/494581,"Bandosz, B.",of  available,21,27,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,On the Road in Eastern Europe,SLA192H1-S,"This course examines the function of travel within texts and films depicting journeys through Eastern Europe. We will distinguish various types of journeys, the narrative and cultural expectations they imply, and the ways that travel relates to individual identity, raising questions about nationality, race, gender, sexuality, and the Other. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Monday,—,14:00,16:00,,,,,TF 103,https://map.utoronto.ca/?id=1809#!m/494581,,,"Mandusic, Z.",of  available,0,25,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Objects of War,SLA193H1-F,"An object or a thing always has a collective history. It speaks of the political and the social conditions under which it was made. In this course, objects of war – the material culture of conflict – from the 20th and 21st centuries will be critically and historically examined. How do these objects speak of violence, politics, and culture, but also rewrite and influence the arenas within which they circulate? Some objects include: canned food, drones, the journalists’ hotel, helmets, tents. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Thursday,—,10:00,12:00,,,,,AH 306,https://map.utoronto.ca/?id=1809#!m/494578,,,"Obradovic, D.",of  available,0,25,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDST,Sexuality at the Intersections,SDS199H1-F,"This First-Year Foundations seminar will explore sexuality at the intersections of race, gender, class, disability, citizenship status, and geography, among other social relations and processes as a foundational practice in Sexual Diversity Studies. In an intimate seminar setting, students will develop reading, writing, and presentation skills necessary for engaging in Sexual Diversity Studies across a wide array of disciplinary traditions. Restricted to first-year students. Not eligible for CR/NCR option.","Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Thursday,—,12:00,14:00,,,,,BL 112,https://map.utoronto.ca/?id=1809#!m/494536,,,"Minai, N.",of  available,0,25,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Intermediate Finnish I,FIN200H1-F,"The four language skills (speaking, listening, reading and writing) honed by discussion of Finnish literary texts as well as by compositions in Finnish about these texts, by a series of conversation exercises, and by analysis of morphology, syntax and word formation. Translation is used to aid in language learning.",FIN110H1 or permission of instructor,Prerequisite:,FIN200Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,09:00,11:00,Thursday,—,09:00,11:00,MY 490,https://map.utoronto.ca/?id=1809#!m/494495,MY 490,https://map.utoronto.ca/?id=1809#!m/494495,"Muhonen, A.",of  available,14,20,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
COMPG,Fundamentals of Financial Accounting,MGT201H1-F,Introduction to financial reporting and analysis that is used by companies to organize and evaluate data in light of their organization’s goal. Emphasis is on decision-making and interpretation of financial statements and how they can be used to plan a firm’s overall business activities through the use of real-world companies. Not open to Rotman Commerce students.,"MGT100H1 or equivalent, or enrolment in the Actuarial Science Specialist or Major",Prerequisite:,RSM219H1,Exclusion:,,,Room,LEC0101,Wednesday,—,09:00,11:00,,,,,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,,,"Tassone, R.",of  available,8,90,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Arts and Science),ASMAJ0608 MA ACTUARIAL SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSPE0608 SP ACTUARIAL SCIENCE,,,,,,
SLA,Jewish Communities in Slavic Countries,SLA202H1-F,"Literature about the Jewish community in Slavic countries. How do these Jewish minorities perceive and identify themselves? How are they perceived by others? Taught in English, all readings in English.",Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Monday,—,12:00,14:00,,,,,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,,,,of  available,26,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
SLA,Intermediate Czech,SLA204Y1-Y,"Using selected texts of diverse styles, this class surveys Czech grammar and introduces various aspects of syntax, composition and translation. Special attention will be paid to oral practice.",SLA205H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC0101,Monday,—,16:00,18:00,Wednesday,—,16:00,18:00,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,"Petrov, A.",of  available,24,25,Yes: 0 student,In Person,NF 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,,,
SLA,Intermediate Polish I,SLA206H1-F,"Students who completed SLA106H and SLA116H or who have comparable basic knowledge of Polish further develop their speaking, listening, reading and writing skills by revising, consolidating and building on their knowledge. Upon completion, they will be able to communicate in more advanced everyday situations and have substantial familiarity with Polish grammar.",SLA106Y1 or SLA 106H and SLA116H,Prerequisite:,SLA206Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC5101,Monday,—,17:00,19:00,Wednesday,—,17:00,19:00,AH 402,https://map.utoronto.ca/?id=1809#!m/494578,AH 402,https://map.utoronto.ca/?id=1809#!m/494578,"Cieszkiel, M.",of  available,6,10,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,Intermediate Polish II,SLA207H1-S,"Students with a general interest in Polish who have completed SLA206H1 or who have a comparable level of Polish further develop their speaking, listening, writing, and reading skills by revising, consolidating, and building on their knowledge. Upon completion, they will be able to communicate in more advanced everyday situations and have substantial familiarity with Polish grammar.",SLA206H1 or permission of instructor,Prerequisite:,SLA206Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC5101,Monday,—,17:00,19:00,Wednesday,—,17:00,19:00,AH 304,https://map.utoronto.ca/?id=1809#!m/494578,AH 304,https://map.utoronto.ca/?id=1809#!m/494578,"Cieszkiel, M.",of  available,22,27,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,Intermediate Ukrainian,SLA208Y1-Y,Study of morphology through grammar drills; oral practice; reading of texts from Ukrainian literature.,Permission of instructor,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC5101,Tuesday,—,17:00,19:00,Thursday,—,17:00,19:00,AH 402,https://map.utoronto.ca/?id=1809#!m/494578,AH 402,https://map.utoronto.ca/?id=1809#!m/494578,"Burak, M.",of  available,12,18,Yes: 0 student,In Person (See Delivery Instructions.),Online Synchronous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Synchronous,,,,,,,,,,,,,,,,,,,
SLA,Intermediate Finnish II,FIN210H1-S,"The four language skills (speaking, listening, reading and writing) honed by discussion of Finnish literary texts as well as by compositions in Finnish about these texts, by a series of conversation exercises, and by analysis of morphology, syntax and word formation. Translation is used to aid in language learning.",FIN200H1 or permission of instructor,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,09:00,11:00,Thursday,—,09:00,11:00,MY 350,https://map.utoronto.ca/?id=1809#!m/494495,MY 350,https://map.utoronto.ca/?id=1809#!m/494495,"Muhonen, A.",of  available,14,20,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Russian for Heritage Speakers,SLA210H1-F,"This course is designed for students with Russian background, students raised in homes where Russian is/was spoken, who speak or merely understand basic Russian but are otherwise illiterate in Russian (cannot/have difficulty reading or writing). This course helps heritage learners of Russian develop/maintain writing and reading skills as well as develop cultural literacy.",Permission of instructor,(Online course in 2011-2012).,Humanities,Prerequisite:,Creative and Cultural Representations (1),Distribution Requirement:,Room,LEC0101,Monday,—,12:00,14:00,Wednesday,—,12:00,14:00,CR 406,https://map.utoronto.ca/?id=1809#!m/494580,CR 406,https://map.utoronto.ca/?id=1809#!m/494580,"Mikhailova, J.",of  available,17,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breadth Requirement:,,
SLA,The Russian Novel,SLA212H1-S,"Introduction to the Russian novelistic tradition at the height of its creative power. We examine the Russian novel’s universal appeal and influence, and its impact on modern art and thought. Authors may include (depending on instructor) Gogol, Turgenev, Dostoevsky, Tolstoy, Belyi, Nabokov, Pasternak, Solzhenitsyn. Taught and read in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,12:00,14:00,,,,,VC 115,https://map.utoronto.ca/?id=1809#!m/494602,,,"Holland, K.",of  available,18,50,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Slavic Languages through Creative Writing,SLA214H1-S,"A course for students of Czech and Slovak, BCS and Russian. Improve your writing skills in a group of different Slavic language learners. Learn simple creative writing in different genres. This course presents a catalogue of different methods and strategies for individual learners at various stages of writing in a foreign language. Complements rather than substitutes for intermediate and advanced levels of the languages taught.",SLA105Y1 or SLA107Y1 or (SLA100H1 and SLA101H1),Prerequisite:,SLA204Y1 or (SLA257H1 and SLA277H1) or SLA220Y1 or SLA320Y1,Corequisite:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,,,,,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,,,"Petrov, A.",of  available,23,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,Czech and Slovak Cultures,SLA215H1-F,"Some of the most important features of Czech and Slovak cultural history are introduced in a survey of the national myths, traditions and cultural trends. (Offered every three years)",SLA215Y1,Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC9901,Tuesday,—,10:00,12:00,,,,,,,,,"Petrov, A.",of  available,16,25,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Cultural History of the South Slavs,SLA217H1-S,"Works of literature, history, music, and visual arts are examined in order to explore the complex cultural legacy of the Balkans, an area marked by Byzantine, Ottoman, and Austro-Hungarian colonial presence. The course will familiarize students with major cultural traditions, myths, and historical flashpoints. Readings in English.","SLA217Y1, SLA227Y1",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,14:00,16:00,,,,,TF 202,https://map.utoronto.ca/?id=1809#!m/494581,,,"Mandusic, Z.",of  available,27,35,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Ukrainian Literature and Culture,SLA218H1-S,"A general survey of Ukrainian culture through an examination of selected literary works and their social, political, historical, philosophical, and aesthetic contexts. The course covers the period from Kyivan Rus to the 1800s. Readings in English. (Offered in alternate years)",SLA218Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,14:00,16:00,,,,,TF 201,https://map.utoronto.ca/?id=1809#!m/494581,,,,of  available,24,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
COMPG,Introduction to Financial Accounting,RSM219H1-F,Basic introduction to financial reporting and analysis. Emphasis is on decision-making and interpretation of financial statements and how they can be used to plan a firm’s overall business activities through the use of real-world companies. Coverage includes the use of accounting information to prepare a basic set of financial statements. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Note: This course is normally taken in first year.,Distribution Requirement:,Social Science,,,,Room,LEC0101,Tuesday,—,10:00,12:00,Tuesday,—,12:00,14:00,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,"Palancz, E.",of  available,1,68,Yes: 0 student,In Person,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Year 1 COMMERCE     (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Palancz, E.",of  available,2,68,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Tuesday,—,15:00,17:00,"Douglas, S.",of  available,0,70,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,,—,Year 1 COMMERCE     (Faculty of Arts and Science)
COMPG,Introduction to Financial Accounting,RSM219H1-S,Basic introduction to financial reporting and analysis. Emphasis is on decision-making and interpretation of financial statements and how they can be used to plan a firm’s overall business activities through the use of real-world companies. Coverage includes the use of accounting information to prepare a basic set of financial statements. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Note: This course is normally taken in first year.,Distribution Requirement:,Social Science,,,,Room,LEC0101,Tuesday,—,13:00,15:00,Tuesday,—,15:00,17:00,SS 2108,https://map.utoronto.ca/?id=1809#!m/494510,RW 140,https://map.utoronto.ca/?id=1809#!m/494515,"Stojanovic, D.",of  available,0,70,Yes: 8 students,In Person,BL 313,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),Year 1 COMMERCE     (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Stojanovic, D.",of  available,0,70,Yes: 1 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Wednesday,—,09:00,11:00,"Tassone, R.",of  available,47,60,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),,RW 140,https://map.utoronto.ca/?id=1809#!m/494515,,—,Year 1 COMMERCE     (Faculty of Arts and Science)
COMPG,Intermediate Financial Accounting I,RSM220H1-F,"Foundations of financial reporting and analysis in Canada. Financial accounting topics are covered at an intermediate level, including both conceptual and technical aspects. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM219H1; Completion of the Rotman Commerce Guaranteed Admission requirements.,Prerequisite:,Social Science,Distribution Requirement:,,,Room,LEC0101,Monday,—,09:00,11:00,Wednesday,—,09:00,11:00,UC 244,https://map.utoronto.ca/?id=1809#!m/494517,—,,"McDonald, J.",of  available,2,50,Yes: 0 student,Online - Synchronous,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Roman, M.",of  available,0,60,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Thursday,—,11:00,13:00,"McDonald, J.",of  available,1,50,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,—,Rotman Commerce   (Faculty of Arts and Science)
