resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,weekDay 5,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 4,legendControl 5,enConDesc 2,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,legendControl 6,legendControl 7,enConDesc 3,enConList 3,extraTxt 12,weekDay 7,weekDay href 3,extraTxt 13,alignC,enConList 4
COMPG,Financial Trading Strategies,RSM434H1-F,This course will use finance theory applied with Excel applications to understand potential returns and risks inherent in particular investment/trading strategies. Learning-by-doing will be facilitated by simulation-based cases focused on particular risks. This training will be analogous to using a flight simulator for learning to fly. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM332H1,Prerequisite:,RSM412H1 Financial Trading Strategies,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,12:00,14:00,Monday,—,14:00,16:00,,,,,"Geoffrey, C.",of  available,0,60,Yes: 0 student,In Person,Contact DEPT,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Geoffrey, C.",of  available,4,60,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,,,,,,,,,,,,,,,,,,,,,,Year 3   Rotman Commerce   (Faculty of Arts and Science),The Physical and Mathematical Universes (5),,,Breadth Requirement:,,Year 4   Rotman Commerce   (Faculty of Arts and Science)
COMPG,Financial Trading Strategies,RSM434H1-S,This course will use finance theory applied with Excel applications to understand potential returns and risks inherent in particular investment/trading strategies. Learning-by-doing will be facilitated by simulation-based cases focused on particular risks. This training will be analogous to using a flight simulator for learning to fly. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM332H1,Prerequisite:,RSM412H1 Financial Trading Strategies,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,12:00,14:00,Monday,—,14:00,16:00,,,,,"McCurdy, T.",of  available,1,57,Yes: 0 student,In Person,Contact DEPT,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Geoffrey, C.",of  available,0,41,Yes: 11 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC2001,Monday,—,14:00,16:00,"Geoffrey, C.",of  available,1,16,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),The Physical and Mathematical Universes (5),,,Breadth Requirement:,,Year 4   Rotman Commerce   (Faculty of Arts and Science)
COMPG,Futures and Options Markets,RSM435H1-F,"This course covers the analysis of derivative instruments such as forwards, futures, swaps and options. By the end of the course, students will have good knowledge of how these contracts work, how they are used and how they are priced. A fee of $35 will be charged to your student account for software purchase. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, RSM332H1",Prerequisite:,ACT370H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,09:00,11:00,Thursday,—,11:00,13:00,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,"MacKay, A.",of  available,18,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"MacKay, A.",of  available,12,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Thursday,—,15:00,17:00,"MacKay, A.",of  available,18,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),The Physical and Mathematical Universes (5),RT 142,https://map.utoronto.ca/?id=1809#!m/494538,Breadth Requirement:,,Year 4   Rotman Commerce   (Faculty of Arts and Science)
COMPG,Futures and Options Markets,RSM435H1-S,"This course covers the analysis of derivative instruments such as forwards, futures, swaps and options. By the end of the course, students will have good knowledge of how these contracts work, how they are used and how they are priced. A fee of $35 will be charged to your student account for software purchase. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO204Y1/ECO206Y1, RSM332H1",Prerequisite:,ACT370H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Thursday,—,18:00,20:00,,,,,WO 30,https://map.utoronto.ca/?id=1809#!m/494558,,,"Wang, K.",of  available,0,55,Yes: 3 students,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Physical and Mathematical Universes (5),,,Breadth Requirement:,,
COMPG,International Finance,RSM437H1-S,"International financial markets, exchange rates, forward markets, interest rate parity. International dimensions of investment, including both portfolio and foreign direct investment. International dimensions of corporate finance, including valuation and the cost of capital of foreign investments. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Rotman Commerce: RSM333H1; Actuarial Science: ACT349H1,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,—,11:00,13:00,Monday,—,15:00,17:00,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,"Rotenberg, W.",of  available,0,50,Yes: 17 students,In Person,,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 3   Rotman Commerce   (Faculty of Arts and Science),Group 1: Year 4   Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Rotenberg, W.",of  available,0,50,Yes: 16 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Tuesday,—,09:00,11:00,"Rotenberg, W.",of  available,0,50,Yes: 12 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 2: ASSPE0608 SP ACTUARIAL SCIENCE,,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,,,Group 1: Year 3   Rotman Commerce   (Faculty of Arts and Science)
COMPG,Private Equity and Entrepreneurial Finance,RSM439H1-F,"The primary objective of the course is to improve students’ ability to understand the concepts and institutions involved in private equity. The course will provide students with skill sets so they can analyze and understand private equity from multiple perspectives: the perspective of the individual/firm seeking and receiving private equity finance; the perspective of the private equity fund; and, the perspective of the limited partners that provide finance for private equity funds. Students will also learn how to build Leverage Buyout (LBO) models. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 14.0 credits; RSM333H1,Prerequisite:,"RSM410H1 (Special Topics in Management: Private Equity and Entrepreneurial Finance); offered in Winter 2015, Winter 2018, and Fall 2018",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,09:00,11:00,Tuesday,—,11:00,13:00,WO 20,https://map.utoronto.ca/?id=1809#!m/494558,WO 20,https://map.utoronto.ca/?id=1809#!m/494558,"Dyck, A.",of  available,0,54,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,"Dyck, A.",of  available,0,54,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5201,Thursday,—,17:00,19:00,"Goldblum, W.",of  available,0,54,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Society and its Institutions (3),WO 35,https://map.utoronto.ca/?id=1809#!m/494558,Breadth Requirement:,,
SLA,Russian Thinkers,SLA449H1-S,"Social and political change, national and spiritual destiny in philosophical, journalistic and critical writings. From Slavophiles and Westernizers to revolutionary and apocalyptic thought. Reflections on Russia's position between Europe and Asia and on the place of Russia's East Asian neighbors in its history and culture. Taught in English, readings in English.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Friday,—,12:00,15:00,,,,,AH 107,https://map.utoronto.ca/?id=1809#!m/494578,,,,of  available,14,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
SDST,Sexuality & Disability,JNS450H1-S,"An interdisciplinary and intersectional approach to the study of disability and sexuality. Students will engage with historical, mainstream and critical discourses and explore complex issues and representations pertaining to disability, sexuality, sexual practices and desire. Draws from a range of writings and cultural texts in queer, crip and sexuality studies.",SDS255H1/SDS256H1 (UNI255H1/UNI256H1) or NEW240Y1/CSE241Y1 or permission of the Instructor,Prerequisite:,"SDS455H1 (Special Topics in Sexual Diversity Studies: Sexuality & Disability), offered in Fall 2015",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,15:00,17:00,,,,,WI 2006,https://map.utoronto.ca/?id=1809#!m/494503,,,"Anderson, D.",of  available,0,21,Yes: 5 students,In Person,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1140 MA EQUITY STUDIES,ASMAJ1141 MA EQUITY & SOLIDARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASMAJ1240 MA SEXUAL DIVERSITY STUDIES,Society and its Institutions (3),,,Breadth Requirement:,,ASMIN1140 MI EQUITY STUDIES
COMPG,Marketing and Behavioural Economics,RSM450H1-F,"What motivates consumers, investors, employees, and managers? In this highly interdisciplinary course, we will examine topics such as the role of emotions in decision-making, “irrational” patterns of how people think about products, money, or investments, and how expectations shape perceptions. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits,Prerequisite:,"RSM418H1 (Special Topics in Management: Integrative Thinking - Psychology and Markets), offered in Fall 2008/Fall 2009/Fall 2010",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Friday,—,09:00,11:00,,,,,WO 30,https://map.utoronto.ca/?id=1809#!m/494558,,,"Rondina, R.",of  available,23,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thought, Belief and Behaviour (2)",,,Breadth Requirement:,,
COMPG,Marketing and Behavioural Economics,RSM450H1-S,"What motivates consumers, investors, employees, and managers? In this highly interdisciplinary course, we will examine topics such as the role of emotions in decision-making, “irrational” patterns of how people think about products, money, or investments, and how expectations shape perceptions. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits,Prerequisite:,"RSM418H1 (Special Topics in Management: Integrative Thinking - Psychology and Markets), offered in Fall 2008/Fall 2009/Fall 2010",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,11:00,13:00,,,,,WO 20,https://map.utoronto.ca/?id=1809#!m/494558,,,,of  available,15,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thought, Belief and Behaviour (2)",,,Breadth Requirement:,—,
