resultDept,pbot15,hiCC,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,extraTxt 18,extraTxt 19,extraTxt 20,extraTxt 21,weekDay 3,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,weekDay href,weekDay 5,weekDay href 2,enConList 5,enConList 6,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,dayInfo 7,dayInfo 8,dayInfo 9,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 6,legendControl 7,enConDesc 2,alignC
ECO,Introduction to Data Analysis and Applied Econometrics,ECO220Y1-Y,Course Description:,Numerical and graphical data description; data collection and sampling; probability; sampling distributions; statistical inference; hypothesis testing and estimation; simple and multiple regression analysis (extensive coverage). Learn how to analyze data and how to correctly interpret and explain results. Use Excel to analyze a wide variety of data and replicate tables and figures in economics research papers.,"ECO100Y1(67%)/(ECO101H1(63%); ECO102H1(63%))/ECO105Y1(80%)/ECO100Y5(67%)/(ECO101H5(63%); ECO102H5(63%))/(MGEA02H3(67%); MGEA06H3 (67%)); MAT133Y1/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",Prerequisite:,"GGR270H1, PSY201H1, PSY202H1, SOC202H1, SOC252H1, STA220H1, STA221H1, STA248H1, ECO220Y5, MGEB11H3, MGEB12H3",Exclusion:,,LEC0101,Monday,—,11:00,13:00,—,"Ugarte, K.",of  available,6,190,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Economics   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),"Department of Economics   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2660 MA PUBLIC POLICY,Social Science,Distribution Requirement:,"Society and its Institutions (3), The Physical and Mathematical Universes (5)",Breadth Requirement:,Thursday,—,18:00,20:00,—,https://map.utoronto.ca/?id=1809#!m/494578,—,https://map.utoronto.ca/?id=1809#!m/494578,Department of Economics   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,15:00,17:00,"Ugarte, K.",of  available,2,190,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",
ENG,Introduction to Shakespeare,ENG220H1-F,Course Description:,An introduction to Shakespeare's work through five or six representative plays. Readings may include non-dramatic poetry as well as plays.,1.0 ENG FCE or any 4.0 FCE,Prerequisite:,"ENG220Y1, ENG320Y1",Exclusion:,Room,LEC9901,Monday,—,09:00,11:00,—,"Lopez, J.",of  available,0,120,Yes: 0 student,Online - Synchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1645 MA ENGLISH,ASMIN1645 MI ENGLISH,ASSPE1645 SP ENGLISH,,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Wednesday,—,09:00,10:00,—,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,Introduction to Shakespeare,ENG220H1-S,Course Description:,An introduction to Shakespeare's work through five or six representative plays. Readings may include non-dramatic poetry as well as plays.,1.0 ENG FCE or any 4.0 FCE,Prerequisite:,"ENG220Y1, ENG320Y1",Exclusion:,Room,LEC0101,Tuesday,—,11:00,13:00,,"Williams, K.",of  available,49,120,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1645 MA ENGLISH,ASMIN1645 MI ENGLISH,ASSPE1645 SP ENGLISH,,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Thursday,—,11:00,12:00,RW 117,https://map.utoronto.ca/?id=1809#!m/494515,RW 117,https://map.utoronto.ca/?id=1809#!m/494515,,,,,,,,,,,,,,,,,,,,,,
ECO,Big-Data Tools for Economists,ECO225H1-S,Course Description:,"An introduction to the big-data tools—including Machine-Learning techniques—economists increasingly use in applied research. The course explores unstructured data sources such as text files, webpages, social media posts, satellite imagery, and weather data. It offers a practical introduction to creating datasets from these sources (e.g., web scrapping), linking data, and managing and visualizing them (e.g., geospatial visualization).",ECO100Y1(67%)/(ECO101H1(63%); ECO102H1(63%))/ECO105Y1(80%)/ECO100Y5(67%)/(ECO101H5(63%); ECO102H5(63%))/(MGEA02H3 (67%); MGEA06H3 (67%)); MAT133Y1(63%)/(MAT135H1(60%); MAT136H1(60%))/ MAT137Y1(55%)/MAT157Y1(55%); CSC108H1/CSC148H1,Prerequisite:,ESC190H,Exclusion:,Room,LEC0101,Wednesday,—,12:00,14:00,,"Khazra, N.",of  available,0,125,Yes: 22 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Economics   (Faculty of Arts and Science),"Department of Economics   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Department of Economics   (Faculty of Arts and Science),"Department of Economics   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Thursday,—,16:00,18:00,RW 117,https://map.utoronto.ca/?id=1809#!m/494515,RW 117,https://map.utoronto.ca/?id=1809#!m/494515,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,15:00,17:00,"Khazra, N.",of  available,0,125,Yes: 19 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",
EEB,Biostatistics for Biological Sciences,EEB225H1-F,Course Description:,"A statistics course designed especially for life science students, using examples from ecology and evolution where appropriate. Students learn to choose and use statistics that are appropriate to address relevant biological questions and hypotheses. Lectures and computer labs will be used to cover the following methods: sampling and experimental design, data exploration, correlation, regression, ANOVA, Chi-square, and other parametric tests.",BIO120H1,Prerequisite:,ECO220Y1/ ECO227Y1/ GGR270H1/ HMB325H1/ PCL376H1/ PSY201H1/ SOC300Y1/ STA220H1/ STA250H1/ STA288H1,Exclusion:,Room,LEC0101,Monday,—,13:00,14:00,,"Sztepanacz, J.",of  available,6,120,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0110 MA BIODIV & CONSERVATION BIOL,ASMAJ1006 MA ECOLOGY & EVOLUTIONARY BIOL,ASMAJ1390 MA ENVIRONMENTAL BIOLOGY,ASMAJ2364 MA BIOLOGY,Science,Distribution Requirement:,,,Wednesday,—,13:00,14:00,RW 117,https://map.utoronto.ca/?id=1809#!m/494515,RW 117,https://map.utoronto.ca/?id=1809#!m/494515,ASMAJ2655 MA GENOME BIOLOGY,ASSPE1006 SP ECOLOGY & EVOLUTIONARY BIOL,,,,,,,,—,09:00,11:00,,,,,,,,,,—
ECO,Foundations of Econometrics,ECO227Y1-Y,Course Description:,"A rigorous introduction to probability and mathematical statistics intended for students in Economics Specialist programs. Probability and estimation theory, sampling distributions, hypotheses testing, multiple regression analysis. Students will learn the tools used in economics and finance to model and address randomness and uncertainty.",ECO100Y1(70%)/(ECO101H1(70%); ECO102H1(70%))/ECO100Y5(70%)/(ECO101H5(70%); ECO102H5(70%))/(MGEA02H3(70%); MGEA06H3(70%)); MAT133Y1(63%)/(MAT135H1(60%); MAT136H1(60%))/MAT137Y1(55%)/MAT157Y1(55%),Prerequisite:,"Recommended: MAT223H1/MAT240H1, MAT235Y1/MAT237Y1/ECO210H1",Corequisite:,,LEC0101,Thursday,—,14:00,16:00,,"Mourifie, I.",of  available,6,90,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Economics   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),"Department of Economics   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASSPE1700 SP MATH APPL(ECON & FINANCE),"STA237H1, STA238H1, STA247H1, STA248H1, STA255H1, STA257H1, STA261H1, ECO227Y5",Exclusion:,Social Science,Distribution Requirement:,Friday,—,12:00,14:00,,https://map.utoronto.ca/?id=1809#!m/494510,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,,,,,,,,,
ECO,Economics of Global Trade,ECO231H1-F,Course Description:,"This course is intended primarily for students in the International Relations program. This course offers an introduction to the economic causes and consequences of international trade in goods, services, labour, innovation and capital. Attention will be devoted to the economic impact of policies that affect these flows, such as protectionism and outsourcing.","(ECO101H1, ECO102H1)/ECO100Y1/ECO105Y1",Prerequisite:,"ECO230Y1, ECO364H1, ECO364H5",Exclusion:,Room,LEC0101,Monday,—,12:00,14:00,,"Denislamova, O.",of  available,61,150,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1469 MA INTERNATIONAL RELATIONS,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",ASSPE1469 SP INTERNATIONAL RELATIONS,,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Thursday,—,14:00,16:00,UC 140,https://map.utoronto.ca/?id=1809#!m/494517,UC 140,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,,,,,,,,,
ECO,Global Macroeconomics and Policies,ECO232H1-S,Course Description:,"This course is intended primarily for students in the International Relations program. The course serves as an introduction to some of the causes of differences in economic performance across countries and the impact of a variety of government policies, such as monetary and fiscal policy as well as exchange rate regimes, and how each of the three interact in response to changes in development, sovereign debt, monetary unions and financial crises.","(ECO101H1, ECO102H1)/ECO100Y1/ECO105Y1",Prerequisite:,"ECO230Y1, ECO365H1, ECO365H5",Exclusion:,Room,LEC0101,Monday,—,12:00,14:00,,"Denislamova, O.",of  available,47,150,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1469 MA INTERNATIONAL RELATIONS,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",ASSPE1469 SP INTERNATIONAL RELATIONS,,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Thursday,—,14:00,16:00,UC 140,https://map.utoronto.ca/?id=1809#!m/494517,UC 140,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,,,,,,,,,
ENG,Children's Literature,ENG234H1-F,Course Description:,"A critical and historical study of poetry and fiction written for or appropriated by children, this course may also include drama or non-fiction and will cover works by at least twelve authors such as Bunyan, Stevenson, Carroll, Twain, Alcott, Nesbit, Montgomery, Milne, Norton, Fitzhugh.",1.0 ENG FCE or any 4.0 FCE,Prerequisite:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,"Baker, D.",of  available,1,45,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1645 MA ENGLISH,ASMIN1645 MI ENGLISH,ASSPE1645 SP ENGLISH,,Creative and Cultural Representations (1),Breadth Requirement:,,,Thursday,—,10:00,11:00,LM 158,https://map.utoronto.ca/?id=1809#!m/494502,LM 158,https://map.utoronto.ca/?id=1809#!m/494502,,,,,,,,,,,,,,,,,,,,,,
ENG,Children's Literature,ENG234H1-S,Course Description:,"A critical and historical study of poetry and fiction written for or appropriated by children, this course may also include drama or non-fiction and will cover works by at least twelve authors such as Bunyan, Stevenson, Carroll, Twain, Alcott, Nesbit, Montgomery, Milne, Norton, Fitzhugh.",1.0 ENG FCE or any 4.0 FCE,Prerequisite:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,"Baker, D.",of  available,0,45,Yes: 7 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1645 MA ENGLISH,ASMIN1645 MI ENGLISH,ASSPE1645 SP ENGLISH,,Creative and Cultural Representations (1),Breadth Requirement:,,,Thursday,—,10:00,11:00,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,,,,,,,,,,,,,,,,,,,,,,
